════════════════════════════════════════════════════════
  notorch — JANUS 15M base training
  DIM=320 L=8 H=5 HD=64 FFN=1024 CTX=128 V=4096 RRPRAM_R=64
  Triple attn (MHA + RRPRAM-LR + Janus Echo), 1/3 blend, single W
  Chuck, 15000 steps, lr=6.0e-04 cosine, warmup 1500
════════════════════════════════════════════════════════
train: 8744739 tokens, val: 460249 tokens
model: 16291136 params (62.15 MB fp32)
karpathy: 0.220 epochs over 15000 steps (anti-chinchilla)

training...
─────────────────────────────────────────────────────────
  step     1/15000 | train 8.3453 | best 8.3453 | lr 6.00e-05 | 3.3s (eta 827m)
  step  6400/15000 | train 5.3861 | best 3.9225 | lr 4.43e-04 | 13890.0s (eta 311m)
  step  6450/15000 | train 5.4971 | best 3.9225 | lr 4.40e-04 | 13990.8s (eta 309m)
  step  6500/15000 | train 5.2583 | best 3.9225 | lr 4.37e-04 | 14091.5s (eta 307m)
  ──── eval step 6500 | val 5.3110
  step  6550/15000 | train 5.1008 | best 3.9225 | lr 4.34e-04 | 14206.7s (eta 305m)
  step  6600/15000 | train 5.1363 | best 3.9225 | lr 4.31e-04 | 14307.9s (eta 304m)
  step  6650/15000 | train 5.4254 | best 3.9225 | lr 4.28e-04 | 14408.6s (eta 302m)
  step  6700/15000 | train 5.2510 | best 3.8168 | lr 4.25e-04 | 14508.6s (eta 300m)
  step  6750/15000 | train 5.6586 | best 3.8168 | lr 4.22e-04 | 14608.8s (eta 298m)
  step  6800/15000 | train 5.2902 | best 3.8168 | lr 4.19e-04 | 14709.2s (eta 296m)
  step  6850/15000 | train 4.9181 | best 3.8168 | lr 4.16e-04 | 14809.2s (eta 294m)
  step  6900/15000 | train 5.1920 | best 3.3924 | lr 4.13e-04 | 14909.2s (eta 292m)
  step  6950/15000 | train 5.5238 | best 3.3924 | lr 4.11e-04 | 15009.1s (eta 290m)
  step  7000/15000 | train 5.3467 | best 3.3924 | lr 4.07e-04 | 15109.0s (eta 288m)
  ──── eval step 7000 | val 5.2470
  step  7050/15000 | train 4.8610 | best 3.3924 | lr 4.04e-04 | 15223.6s (eta 286m)
  step  7100/15000 | train 4.9731 | best 3.3924 | lr 4.01e-04 | 15324.5s (eta 284m)
  step  7150/15000 | train 5.2489 | best 3.3924 | lr 3.98e-04 | 15425.4s (eta 282m)
  step  7200/15000 | train 5.4814 | best 3.3924 | lr 3.95e-04 | 15526.4s (eta 280m)
  step  7250/15000 | train 5.6609 | best 3.3924 | lr 3.92e-04 | 15627.3s (eta 278m)
  step  7300/15000 | train 5.3167 | best 3.3924 | lr 3.89e-04 | 15728.1s (eta 276m)
  step  7350/15000 | train 4.9312 | best 3.3924 | lr 3.86e-04 | 15833.9s (eta 275m)
  step  7400/15000 | train 5.5335 | best 3.3924 | lr 3.83e-04 | 15934.9s (eta 273m)
  step  7450/15000 | train 5.6627 | best 3.3924 | lr 3.80e-04 | 16035.9s (eta 271m)
  step  7500/15000 | train 4.9604 | best 3.3924 | lr 3.77e-04 | 16137.0s (eta 269m)
  ──── eval step 7500 | val 5.2098
  step  7550/15000 | train 5.2498 | best 3.3924 | lr 3.74e-04 | 16252.7s (eta 267m)
  step  7600/15000 | train 5.4137 | best 3.3924 | lr 3.71e-04 | 16354.1s (eta 265m)
  step  7650/15000 | train 5.0925 | best 3.3924 | lr 3.68e-04 | 16455.3s (eta 263m)
  step  7700/15000 | train 4.9369 | best 3.3924 | lr 3.65e-04 | 16556.5s (eta 262m)
  step  7750/15000 | train 5.2003 | best 3.3924 | lr 3.61e-04 | 16658.2s (eta 260m)
  step  7800/15000 | train 5.4980 | best 3.3924 | lr 3.58e-04 | 16759.5s (eta 258m)
  step  7850/15000 | train 5.5176 | best 3.3924 | lr 3.55e-04 | 16860.7s (eta 256m)
  step  7900/15000 | train 5.3518 | best 3.3924 | lr 3.52e-04 | 16961.8s (eta 254m)
  step  7950/15000 | train 5.9447 | best 3.3924 | lr 3.49e-04 | 17063.0s (eta 252m)
  step  8000/15000 | train 5.3948 | best 3.3924 | lr 3.46e-04 | 17164.2s (eta 250m)
  ──── eval step 8000 | val 5.2121
  step  8050/15000 | train 5.1587 | best 3.3924 | lr 3.43e-04 | 17279.4s (eta 249m)
  step  8100/15000 | train 5.1414 | best 3.3924 | lr 3.39e-04 | 17380.9s (eta 247m)
  step  8150/15000 | train 5.4317 | best 3.3924 | lr 3.36e-04 | 17482.4s (eta 245m)
  step  8200/15000 | train 5.1344 | best 3.3924 | lr 3.33e-04 | 17583.9s (eta 243m)
  step  8250/15000 | train 5.0632 | best 3.3924 | lr 3.30e-04 | 17685.3s (eta 241m)
  step  8300/15000 | train 5.7149 | best 3.3924 | lr 3.27e-04 | 17786.5s (eta 239m)
  step  8350/15000 | train 5.0597 | best 3.3924 | lr 3.24e-04 | 17887.8s (eta 237m)
  step  8400/15000 | train 5.3035 | best 3.3924 | lr 3.21e-04 | 17989.0s (eta 236m)
  step  8450/15000 | train 5.3325 | best 3.3924 | lr 3.18e-04 | 18089.8s (eta 234m)
  step  8500/15000 | train 5.0054 | best 3.3924 | lr 3.14e-04 | 18190.5s (eta 232m)
  ──── eval step 8500 | val 5.1897
  step  8550/15000 | train 5.2149 | best 3.3924 | lr 3.11e-04 | 18306.2s (eta 230m)
  step  8600/15000 | train 5.0597 | best 3.3924 | lr 3.08e-04 | 18407.7s (eta 228m)
  step  8650/15000 | train 4.9719 | best 3.3924 | lr 3.05e-04 | 18510.4s (eta 226m)
  step  8700/15000 | train 4.7589 | best 3.3924 | lr 3.02e-04 | 18612.5s (eta 225m)
  step  8750/15000 | train 5.7848 | best 3.3924 | lr 2.99e-04 | 18714.5s (eta 223m)
  step  8800/15000 | train 5.1082 | best 3.3924 | lr 2.96e-04 | 18816.5s (eta 221m)
  step  8850/15000 | train 6.3790 | best 3.3924 | lr 2.92e-04 | 18918.2s (eta 219m)
  step  8900/15000 | train 4.7883 | best 3.3924 | lr 2.89e-04 | 19020.1s (eta 217m)
  step  8950/15000 | train 5.1581 | best 3.3924 | lr 2.86e-04 | 19122.0s (eta 215m)
  step  9000/15000 | train 4.9458 | best 3.3924 | lr 2.83e-04 | 19223.7s (eta 214m)
  ──── eval step 9000 | val 5.1755
  step  9050/15000 | train 4.7895 | best 3.3924 | lr 2.80e-04 | 19339.7s (eta 212m)
  step  9100/15000 | train 5.0974 | best 3.3924 | lr 2.77e-04 | 19443.2s (eta 210m)
  step  9150/15000 | train 4.9758 | best 3.3924 | lr 2.74e-04 | 19545.0s (eta 208m)
  step  9200/15000 | train 5.5573 | best 3.3924 | lr 2.71e-04 | 19647.8s (eta 206m)
  step  9250/15000 | train 5.0339 | best 3.3924 | lr 2.68e-04 | 19749.6s (eta 205m)
  step  9300/15000 | train 5.1213 | best 3.3924 | lr 2.65e-04 | 19851.2s (eta 203m)
  step  9350/15000 | train 4.9758 | best 3.3924 | lr 2.62e-04 | 19953.0s (eta 201m)
  step  9400/15000 | train 5.2083 | best 3.3924 | lr 2.59e-04 | 20054.9s (eta 199m)
  step  9450/15000 | train 5.2128 | best 3.3924 | lr 2.56e-04 | 20156.8s (eta 197m)
  step  9500/15000 | train 5.0923 | best 3.3924 | lr 2.53e-04 | 20258.7s (eta 195m)
  ──── eval step 9500 | val 5.1444
  step  9550/15000 | train 5.7197 | best 3.3924 | lr 2.50e-04 | 20376.7s (eta 194m)
  step  9600/15000 | train 5.6210 | best 3.3924 | lr 2.47e-04 | 20480.0s (eta 192m)
  step  9650/15000 | train 5.2084 | best 3.3924 | lr 2.44e-04 | 20588.5s (eta 190m)
  step  9700/15000 | train 4.9775 | best 3.3924 | lr 2.41e-04 | 20695.8s (eta 188m)
  step  9750/15000 | train 5.1851 | best 3.3924 | lr 2.38e-04 | 20804.8s (eta 187m)
  step  9800/15000 | train 5.3641 | best 3.3924 | lr 2.35e-04 | 20931.9s (eta 185m)
  step  9850/15000 | train 5.0548 | best 3.3924 | lr 2.32e-04 | 21046.5s (eta 183m)
  step  9900/15000 | train 4.6964 | best 3.3924 | lr 2.29e-04 | 21163.6s (eta 182m)
  step  9950/15000 | train 5.3959 | best 3.3924 | lr 2.26e-04 | 21310.7s (eta 180m)
  step 10000/15000 | train 5.1379 | best 3.3924 | lr 2.23e-04 | 21460.3s (eta 179m)
  ──── eval step 10000 | val 5.1259
  step 10050/15000 | train 5.2167 | best 3.3924 | lr 2.20e-04 | 21601.4s (eta 177m)
  step 10100/15000 | train 5.2583 | best 3.3924 | lr 2.17e-04 | 21718.9s (eta 176m)
  step 10150/15000 | train 5.1614 | best 3.3924 | lr 2.15e-04 | 21869.4s (eta 174m)
  step 10200/15000 | train 4.3207 | best 3.3924 | lr 2.12e-04 | 22057.3s (eta 173m)
  step 10250/15000 | train 4.7888 | best 3.3924 | lr 2.09e-04 | 22213.3s (eta 172m)
  step 10300/15000 | train 5.3495 | best 3.3924 | lr 2.06e-04 | 22330.9s (eta 170m)
  step 10350/15000 | train 4.8800 | best 3.3924 | lr 2.03e-04 | 22513.2s (eta 169m)
  step 10400/15000 | train 4.8977 | best 3.3924 | lr 2.01e-04 | 22669.9s (eta 167m)
  step 10450/15000 | train 4.7479 | best 3.3924 | lr 1.98e-04 | 22790.2s (eta 165m)
  step 10500/15000 | train 4.7079 | best 3.3924 | lr 1.95e-04 | 22913.9s (eta 164m)
  ──── eval step 10500 | val 5.1033
  step 10550/15000 | train 4.8019 | best 3.3924 | lr 1.92e-04 | 23048.8s (eta 162m)
  step 10600/15000 | train 5.0565 | best 2.9355 | lr 1.90e-04 | 23161.4s (eta 160m)
  step 10650/15000 | train 4.9703 | best 2.9355 | lr 1.87e-04 | 23273.9s (eta 158m)
  step 10700/15000 | train 5.0308 | best 2.9355 | lr 1.84e-04 | 23386.3s (eta 157m)
  step 10750/15000 | train 4.5783 | best 2.9355 | lr 1.82e-04 | 23498.9s (eta 155m)
